,Sub,Run,TR,Onset,Item,Resp,RT,image_on,button_on,button_off,Trial_ID,stim,switchButtonOrientation
0,sub005,2,3,0,,,,,,,,blank,0.0
1,sub005,2,4,2,,,,,,,,blank,0.0
2,sub005,2,5,4,,,,,,,,blank,0.0
3,sub005,2,6,6,D,1,0.6166733079589903,12.002646115142852,13.019383559003472,13.919322100002319,0,stim,1.0
4,sub005,2,7,8,,,,,,,,blank,1.0
5,sub005,2,8,10,,,,,,,,blank,1.0
6,sub005,2,9,12,B,1,0.6333333489019424,18.00395957310684,19.021939698141068,19.92170368717052,1,stim,1.0
7,sub005,2,10,14,,,,,,,,blank,1.0
8,sub005,2,11,16,,,,,,,,blank,1.0
9,sub005,2,12,18,A,1,0.5166689148172736,24.00514481216669,25.02399714011699,25.921782171120867,2,stim,0.0
10,sub005,2,13,20,,,,,,,,blank,0.0
11,sub005,2,14,22,,,,,,,,blank,0.0
12,sub005,2,15,24,,,,,,,,blank,0.0
13,sub005,2,16,26,C,1,0.5166370058432221,32.00528908218257,33.0248245971743,33.92194025614299,3,stim,0.0
14,sub005,2,17,28,,,,,,,,blank,0.0
15,sub005,2,18,30,,,,,,,,blank,0.0
16,sub005,2,19,32,,,,,,,,blank,0.0
17,sub005,2,20,34,B,2,0.4666399790439755,40.00533793610521,41.02485666703433,41.921990224160254,4,stim,0.0
18,sub005,2,21,36,,,,,,,,blank,0.0
19,sub005,2,22,38,,,,,,,,blank,0.0
20,sub005,2,23,40,D,2,0.5666905711404979,46.00537418900058,47.02504759305157,47.922042719088495,5,stim,0.0
21,sub005,2,24,42,,,,,,,,blank,0.0
22,sub005,2,25,44,C,2,0.5499742259271443,50.00536534911953,51.025018382119015,51.922017774078995,6,stim,1.0
23,sub005,2,26,46,,,,,,,,blank,1.0
24,sub005,2,27,48,B,1,0.4999404130503535,54.005434500053525,55.02507229917683,55.922107657184824,7,stim,1.0
25,sub005,2,28,50,,,,,,,,blank,1.0
26,sub005,2,29,52,,,,,,,,blank,1.0
27,sub005,2,30,54,A,2,0.5833460309077054,60.00534257013351,61.024258867139,61.92205576598644,8,stim,1.0
28,sub005,2,31,56,,,,,,,,blank,1.0
29,sub005,2,32,58,,,,,,,,blank,1.0
30,sub005,2,33,60,D,2,0.7332882590126246,66.00538650713861,67.02425077208318,67.92201875406317,9,stim,0.0
31,sub005,2,34,62,,,,,,,,blank,0.0
32,sub005,2,35,64,,,,,,,,blank,0.0
33,sub005,2,36,66,,,,,,,,blank,0.0
34,sub005,2,37,68,C,2,0.6001271191053092,74.00535649899393,75.02434410620481,75.92215318814851,10,stim,1.0
35,sub005,2,38,70,,,,,,,,blank,1.0
36,sub005,2,39,72,,,,,,,,blank,1.0
37,sub005,2,40,74,A,2,0.5666157340165228,80.00556959002279,81.02511877799407,81.92222492699511,11,stim,1.0
38,sub005,2,41,76,,,,,,,,blank,1.0
39,sub005,2,42,78,D,2,0.6332914030645043,84.00550361606292,85.02435934613459,85.92218987899832,12,stim,0.0
40,sub005,2,43,80,,,,,,,,blank,0.0
41,sub005,2,44,82,,,,,,,,blank,0.0
42,sub005,2,45,84,B,2,0.5666515899356455,90.0055506140925,91.02439178409986,91.92224642098881,13,stim,0.0
43,sub005,2,46,86,,,,,,,,blank,0.0
44,sub005,2,47,88,,,,,,,,blank,0.0
45,sub005,2,48,90,A,2,0.5833433850202709,96.00555547210388,97.02464579208754,97.92226424207911,14,stim,1.0
46,sub005,2,49,92,,,,,,,,blank,1.0
47,sub005,2,50,94,B,2,0.5833284899126738,100.0055463782046,101.02448272402398,101.92230010009371,15,stim,0.0
48,sub005,2,51,96,,,,,,,,blank,0.0
49,sub005,2,52,98,,,,,,,,blank,0.0
50,sub005,2,53,100,,,,,,,,blank,0.0
51,sub005,2,54,102,C,1,0.8667066809721291,108.00563069502823,109.02470552711748,109.92229485302232,16,stim,0.0
52,sub005,2,55,104,,,,,,,,blank,0.0
53,sub005,2,56,106,A,2,0.5832830730360001,112.00568195804954,113.02455032709986,113.92235954711214,17,stim,1.0
54,sub005,2,57,108,,,,,,,,blank,1.0
55,sub005,2,58,110,,,,,,,,blank,1.0
56,sub005,2,59,112,D,2,0.4833197840489447,118.00571174407378,119.02475346717983,119.92234569508582,18,stim,0.0
57,sub005,2,60,114,,,,,,,,blank,0.0
58,sub005,2,61,116,,,,,,,,blank,0.0
