,Sub,Run,TR,Onset,Item,Resp,RT,image_on,button_on,button_off,Trial_ID,stim,switchButtonOrientation
0,sub005,1,3,0,,,,,,,,blank,0.0
1,sub005,1,4,2,,,,,,,,blank,0.0
2,sub005,1,5,4,,,,,,,,blank,0.0
3,sub005,1,6,6,B,2,0.686253049178049,12.014788772910833,13.034329740097746,13.931420712033287,0,stim,0.0
4,sub005,1,7,8,,,,,,,,blank,0.0
5,sub005,1,8,10,A,1,0.4832959631457925,16.014878815971315,17.034453263971955,17.931412867968902,1,stim,0.0
6,sub005,1,9,12,,,,,,,,blank,0.0
7,sub005,1,10,14,,,,,,,,blank,0.0
8,sub005,1,11,16,,,,,,,,blank,0.0
9,sub005,1,12,18,C,2,0.5833644620142877,24.01476559205912,25.03438752098009,25.93156077992171,2,stim,1.0
10,sub005,1,13,20,,,,,,,,blank,1.0
11,sub005,1,14,22,A,2,0.5667686469387263,28.014807414030656,29.034548331052065,29.931537919910625,3,stim,1.0
12,sub005,1,15,24,,,,,,,,blank,1.0
13,sub005,1,16,26,,,,,,,,blank,1.0
14,sub005,1,17,28,D,1,0.5665948349051178,34.01489704102278,35.034406546037644,35.931610103929415,4,stim,1.0
15,sub005,1,18,30,,,,,,,,blank,1.0
16,sub005,1,19,32,C,2,0.4833212841767818,38.014862461946905,39.03447046992369,39.931609702063724,5,stim,1.0
17,sub005,1,20,34,,,,,,,,blank,1.0
18,sub005,1,21,36,D,1,0.4667435809969902,42.01487317192368,43.0346615689341,43.931603122036904,6,stim,1.0
19,sub005,1,22,38,,,,,,,,blank,1.0
20,sub005,1,23,40,,,,,,,,blank,1.0
21,sub005,1,24,42,A,2,0.5499841370619833,48.01497271191329,49.034485245123506,49.93168285000138,7,stim,1.0
22,sub005,1,25,44,,,,,,,,blank,1.0
23,sub005,1,26,46,,,,,,,,blank,1.0
24,sub005,1,27,48,B,2,0.566607222892344,54.015006649075076,55.0346067501232,55.93164395005442,8,stim,0.0
25,sub005,1,28,50,,,,,,,,blank,0.0
26,sub005,1,29,52,,,,,,,,blank,0.0
27,sub005,1,30,54,C,2,0.5166871780529618,60.0150288620498,61.03457446000539,61.9316749360878,9,stim,1.0
28,sub005,1,31,56,,,,,,,,blank,1.0
29,sub005,1,32,58,B,1,0.533257378032431,64.01507767289877,65.03458436205983,65.93166493112221,10,stim,1.0
30,sub005,1,33,60,,,,,,,,blank,1.0
31,sub005,1,34,62,D,2,0.5166626200079918,68.01509567489848,69.0347083429806,69.93169917003252,11,stim,0.0
32,sub005,1,35,64,,,,,,,,blank,0.0
33,sub005,1,36,66,C,1,0.5499679790809751,72.0151295720134,73.03474616701715,73.93178197392263,12,stim,0.0
34,sub005,1,37,68,,,,,,,,blank,0.0
35,sub005,1,38,70,,,,,,,,blank,0.0
36,sub005,1,39,72,,,,,,,,blank,0.0
37,sub005,1,40,74,D,2,0.39997641602531075,80.01514759496786,81.03466149396263,81.93179306597449,13,stim,0.0
38,sub005,1,41,76,,,,,,,,blank,0.0
39,sub005,1,42,78,,,,,,,,blank,0.0
40,sub005,1,43,80,A,2,0.916616837028414,86.01516171894036,87.03468532697298,87.93177855596878,14,stim,1.0
41,sub005,1,44,82,,,,,,,,blank,1.0
42,sub005,1,45,84,,,,,,,,blank,1.0
43,sub005,1,46,86,,,,,,,,blank,1.0
44,sub005,1,47,88,C,1,0.5499535501003265,94.01522553199902,95.0348715421278,95.93186106299981,15,stim,0.0
45,sub005,1,48,90,,,,,,,,blank,0.0
46,sub005,1,49,92,B,2,0.6000205760356039,98.01524052396417,99.0347445900552,99.93178106006235,16,stim,0.0
47,sub005,1,50,94,,,,,,,,blank,0.0
48,sub005,1,51,96,,,,,,,,blank,0.0
49,sub005,1,52,98,,,,,,,,blank,0.0
50,sub005,1,53,100,A,2,0.49999700486660004,106.01518288510852,107.0342207509093,107.93181214202195,17,stim,1.0
51,sub005,1,54,102,,,,,,,,blank,1.0
52,sub005,1,55,104,,,,,,,,blank,1.0
53,sub005,1,56,106,D,2,0.4499352271668613,112.01520362892188,113.03419634792954,113.93183782091364,18,stim,0.0
