,Sub,Run,TR,Onset,Item,Resp,RT,image_on,button_on,button_off,Trial_ID,stim,switchButtonOrientation
108,sub004,8,111,216,B,2,0.5000297729857266,222.00894451502245,223.02783044200623,223.92812983103795,37,stim,0.0
109,sub004,8,112,218,,,,,,,,blank,0.0
110,sub004,8,113,220,,,,,,,,blank,0.0
111,sub004,8,114,222,A,2,0.5332753320108168,228.00909296103055,229.02870495599927,229.92925110901706,38,stim,1.0
112,sub004,8,115,224,,,,,,,,blank,1.0
113,sub004,8,116,226,,,,,,,,blank,1.0
114,sub004,8,117,228,,,,,,,,blank,1.0
115,sub004,8,118,230,B,2,0.4500084100291133,236.0090528440196,237.02806077100104,237.92833152302774,39,stim,0.0
116,sub004,8,119,232,,,,,,,,blank,0.0
117,sub004,8,120,234,D,1,0.4667313909740187,240.0090004040394,241.0279293950298,241.927685061004,40,stim,1.0
118,sub004,8,121,236,,,,,,,,blank,1.0
119,sub004,8,122,238,,,,,,,,blank,1.0
120,sub004,8,123,240,A,1,0.48328561399830505,246.00909680401674,247.02791985601652,247.92836901103146,41,stim,0.0
121,sub004,8,124,242,,,,,,,,blank,0.0
122,sub004,8,125,244,C,2,0.7000768840080127,250.00906073802616,251.0282084060018,251.92775441001868,42,stim,1.0
123,sub004,8,126,246,,,,,,,,blank,1.0
124,sub004,8,127,248,,,,,,,,blank,1.0
125,sub004,8,128,250,,,,,,,,blank,1.0
126,sub004,8,129,252,A,2,0.4833692060201429,258.0091484320001,259.0280725710327,259.92849712399766,43,stim,1.0
127,sub004,8,130,254,,,,,,,,blank,1.0
128,sub004,8,131,256,,,,,,,,blank,1.0
129,sub004,8,132,258,B,2,0.4499115200014785,264.00923459103797,265.02804747002665,265.92845603101887,44,stim,0.0
130,sub004,8,133,260,,,,,,,,blank,0.0
131,sub004,8,134,262,,,,,,,,blank,0.0
132,sub004,8,135,264,D,1,0.4500576970167458,270.009213317011,271.02831831900403,271.92846416903194,45,stim,1.0
133,sub004,8,136,266,,,,,,,,blank,1.0
134,sub004,8,137,268,C,2,0.49993765697581694,274.0093110470334,275.02914810104994,275.92848976905225,46,stim,1.0
135,sub004,8,138,270,,,,,,,,blank,1.0
136,sub004,8,139,272,D,2,0.44999024603748694,278.0093148360029,279.0284376560012,279.92850807803916,47,stim,0.0
137,sub004,8,140,274,,,,,,,,blank,0.0
138,sub004,8,141,276,,,,,,,,blank,0.0
139,sub004,8,142,278,,,,,,,,blank,0.0
140,sub004,8,143,280,,,,,,,,blank,0.0
