,Sub,Run,TR,Onset,Item,Resp,RT,image_on,button_on,button_off,Trial_ID,stim,switchButtonOrientation
0,sub005,5,3,0,,,,,,,,blank,0.0
1,sub005,5,4,2,,,,,,,,blank,0.0
2,sub005,5,5,4,,,,,,,,blank,0.0
3,sub005,5,6,6,A,1,0.4166915870155208,12.015948461019434,13.032697385002393,13.932634809985757,0,stim,0.0
4,sub005,5,7,8,,,,,,,,blank,0.0
5,sub005,5,8,10,C,1,0.4010512320091948,16.000592836993746,17.020547466003336,17.918396688997746,1,stim,0.0
6,sub005,5,9,12,,,,,,,,blank,0.0
7,sub005,5,10,14,D,1,0.4167280990513973,20.001660374982748,21.020589331979863,21.91844083898468,2,stim,1.0
8,sub005,5,11,16,,,,,,,,blank,1.0
9,sub005,5,12,18,,,,,,,,blank,1.0
10,sub005,5,13,20,,,,,,,,blank,1.0
11,sub005,5,14,22,B,1,0.3834013880114071,28.00183454499347,29.02169197803596,29.918624765996356,3,stim,1.0
12,sub005,5,15,24,,,,,,,,blank,1.0
13,sub005,5,16,26,D,2,0.48331130598671734,32.001956665015314,33.02160139702028,33.91856660001213,4,stim,0.0
14,sub005,5,17,28,,,,,,,,blank,0.0
15,sub005,5,18,30,A,2,0.4333341470337473,36.00197580899112,37.021578081999905,37.918578655982856,5,stim,1.0
16,sub005,5,19,32,,,,,,,,blank,1.0
17,sub005,5,20,34,C,1,0.5665927200461738,40.00200533599127,41.021496122004464,41.91866098402534,6,stim,0.0
18,sub005,5,21,36,,,,,,,,blank,0.0
19,sub005,5,22,38,,,,,,,,blank,0.0
20,sub005,5,23,40,B,1,0.5000075380085036,46.00203048798721,47.02168322401121,47.918729842000175,7,stim,0.0
21,sub005,5,24,42,,,,,,,,blank,0.0
22,sub005,5,25,44,C,2,0.9000100260018371,50.00199356098892,51.021608691022266,51.92166128201643,8,stim,1.0
23,sub005,5,26,46,,,,,,,,blank,1.0
24,sub005,5,27,48,,,,,,,,blank,1.0
25,sub005,5,28,50,,,,,,,,blank,1.0
26,sub005,5,29,52,A,2,0.5832922310219146,58.00211290299194,59.02175634098239,59.91881761298282,9,stim,1.0
27,sub005,5,30,54,,,,,,,,blank,1.0
28,sub005,5,31,56,B,1,0.5833398170070723,62.00207413302269,63.02182017901214,63.91882492299192,10,stim,1.0
29,sub005,5,32,58,,,,,,,,blank,1.0
30,sub005,5,33,60,,,,,,,,blank,1.0
31,sub005,5,34,62,,,,,,,,blank,1.0
32,sub005,5,35,64,D,2,0.6499757790006697,70.00217354099732,71.02185609500157,71.91883469198365,11,stim,0.0
33,sub005,5,36,66,,,,,,,,blank,0.0
34,sub005,5,37,68,,,,,,,,blank,0.0
35,sub005,5,38,70,A,1,0.4833359940093942,76.00223220098997,77.02167810301762,77.91886456502834,12,stim,0.0
36,sub005,5,39,72,,,,,,,,blank,0.0
37,sub005,5,40,74,C,2,0.7832575800130144,80.00234506902052,81.02175436198013,81.91898746602237,13,stim,1.0
38,sub005,5,41,76,,,,,,,,blank,1.0
39,sub005,5,42,78,,,,,,,,blank,1.0
40,sub005,5,43,80,,,,,,,,blank,1.0
41,sub005,5,44,82,B,,,88.00224065902876,89.02205656701699,89.9190049089957,14,stim,0.0
42,sub005,5,45,84,,,,,,,,blank,0.0
43,sub005,5,46,86,,,,,,,,blank,0.0
44,sub005,5,47,88,A,1,0.7666483909706585,94.00230806402396,95.02189253899269,95.91904941003304,15,stim,0.0
45,sub005,5,48,90,,,,,,,,blank,0.0
46,sub005,5,49,92,,,,,,,,blank,0.0
47,sub005,5,50,94,C,1,0.5832625440089032,100.0024047709885,101.02188703301363,101.91906247503357,16,stim,0.0
48,sub005,5,51,96,,,,,,,,blank,0.0
49,sub005,5,52,98,,,,,,,,blank,0.0
50,sub005,5,53,100,D,1,0.44996065099257976,106.00240088801365,107.0220820470131,107.91906346002361,17,stim,1.0
51,sub005,5,54,102,,,,,,,,blank,1.0
52,sub005,5,55,104,,,,,,,,blank,1.0
53,sub005,5,56,106,B,2,0.433331380947493,112.0024680350325,113.02201817301102,113.91910296003334,18,stim,0.0
54,sub005,5,57,108,,,,,,,,blank,0.0
55,sub005,5,58,110,D,1,0.5666826430242509,116.0024415369844,117.02205518999835,117.91917459503748,19,stim,1.0
56,sub005,5,59,112,,,,,,,,blank,1.0
57,sub005,5,60,114,,,,,,,,blank,1.0
58,sub005,5,61,116,C,1,0.5500775219989009,122.00245508999797,123.02210533001926,123.91922231100034,20,stim,0.0
59,sub005,5,62,118,,,,,,,,blank,0.0
60,sub005,5,63,120,A,2,0.8000013310229406,126.00256520201219,127.02200038498268,127.91916435601888,21,stim,1.0
61,sub005,5,64,122,,,,,,,,blank,1.0
62,sub005,5,65,124,,,,,,,,blank,1.0
63,sub005,5,66,126,D,,,132.002543220995,133.02221650001593,133.91920258500613,22,stim,0.0
64,sub005,5,67,128,,2,1.516767985012848,,,,,blank,0.0
65,sub005,5,68,130,B,1,0.48332492797635496,136.0026363210054,137.02213213499635,137.9192397419829,23,stim,1.0
66,sub005,5,69,132,,,,,,,,blank,1.0
67,sub005,5,70,134,,,,,,,,blank,1.0
68,sub005,5,71,136,A,,,142.00267272198107,143.02211211598478,143.91926684801,24,stim,0.0
69,sub005,5,72,138,,1,1.4333750570076518,,,,,blank,0.0
70,sub005,5,73,140,,,,,,,,blank,0.0
71,sub005,5,74,142,B,1,0.4666209080023691,148.00270293903304,149.0222143200226,149.91931588202715,25,stim,1.0
72,sub005,5,75,144,,,,,,,,blank,1.0
73,sub005,5,76,146,,,,,,,,blank,1.0
74,sub005,5,77,148,,,,,,,,blank,1.0
75,sub005,5,78,150,D,2,0.7333707729703747,156.00273967703106,157.022369310027,157.9193899499951,26,stim,0.0
76,sub005,5,79,152,,,,,,,,blank,0.0
77,sub005,5,80,154,,,,,,,,blank,0.0
78,sub005,5,81,156,A,1,0.5166394069674425,162.0027668530238,163.02240811899537,163.91942818299867,27,stim,0.0
79,sub005,5,82,158,,,,,,,,blank,0.0
80,sub005,5,83,160,,,,,,,,blank,0.0
81,sub005,5,84,162,C,1,0.6500714920111932,168.00276013999246,169.02253491501324,169.9194670470315,28,stim,0.0
82,sub005,5,85,164,,,,,,,,blank,0.0
83,sub005,5,86,166,D,2,0.8499538340256549,172.00285030598752,173.02236940799048,173.91947334603174,29,stim,0.0
84,sub005,5,87,168,,,,,,,,blank,0.0
85,sub005,5,88,170,B,2,0.45004657201934606,176.00277224101592,177.02252855000552,177.91949952498544,30,stim,0.0
86,sub005,5,89,172,,,,,,,,blank,0.0
87,sub005,5,90,174,,,,,,,,blank,0.0
88,sub005,5,91,176,D,2,0.533253216999583,182.00293725403026,183.02259175101062,183.91954921203433,31,stim,0.0
89,sub005,5,92,178,,,,,,,,blank,0.0
90,sub005,5,93,180,,,,,,,,blank,0.0
91,sub005,5,94,182,,,,,,,,blank,0.0
92,sub005,5,95,184,B,1,0.7167568320292048,190.0028945709928,191.02254967403132,191.91968054301105,32,stim,1.0
93,sub005,5,96,186,,,,,,,,blank,1.0
94,sub005,5,97,188,C,1,0.8500322769978084,194.00298505701357,195.0225696050329,195.91966540098656,33,stim,0.0
95,sub005,5,98,190,,,,,,,,blank,0.0
