,Sub,Run,TR,Onset,Item,Resp,RT,image_on,button_on,button_off,Trial_ID,stim,switchButtonOrientation
0,sub005,8,3,0,,,,,,,,blank,0.0
1,sub005,8,4,2,,,,,,,,blank,0.0
2,sub005,8,5,4,,,,,,,,blank,0.0
3,sub005,8,6,6,D,2,0.5333385789999738,12.01230935996864,13.029188933956902,13.929051406972576,0,stim,0.0
4,sub005,8,7,8,,,,,,,,blank,0.0
5,sub005,8,8,10,,,,,,,,blank,0.0
6,sub005,8,9,12,C,2,0.7000274989986792,18.013645761995576,19.031570655992255,19.933659525006078,1,stim,1.0
7,sub005,8,10,14,,,,,,,,blank,1.0
8,sub005,8,11,16,D,1,0.48332839499926195,22.014737815014087,23.03388168796664,23.93388861499261,2,stim,1.0
9,sub005,8,12,18,,,,,,,,blank,1.0
10,sub005,8,13,20,B,1,0.6666661350172944,26.01476496795658,27.033841825963464,27.93391928100027,3,stim,1.0
11,sub005,8,14,22,,,,,,,,blank,1.0
12,sub005,8,15,24,C,2,0.7166147730313241,30.01492528198287,31.03455264796503,31.933958679961506,4,stim,1.0
13,sub005,8,16,26,,,,,,,,blank,1.0
14,sub005,8,17,28,A,2,0.918948468985036,34.01483382697916,35.033890942984726,35.93378229596419,5,stim,1.0
15,sub005,8,18,30,,,,,,,,blank,1.0
16,sub005,8,19,32,,,,,,,,blank,1.0
17,sub005,8,20,34,B,2,0.6500112219946459,40.01492488000076,41.033780319965445,41.9337845830014,6,stim,0.0
18,sub005,8,21,36,,,,,,,,blank,0.0
19,sub005,8,22,38,,,,,,,,blank,0.0
20,sub005,8,23,40,A,2,0.9167088440153748,46.01495674595935,47.03382018796401,47.93166558997473,7,stim,1.0
21,sub005,8,24,42,,,,,,,,blank,1.0
22,sub005,8,25,44,,,,,,,,blank,1.0
23,sub005,8,26,46,B,2,0.683340092014987,52.01501560996985,53.03387473401381,53.933872068009805,8,stim,0.0
24,sub005,8,27,48,,,,,,,,blank,0.0
25,sub005,8,28,50,,,,,,,,blank,0.0
26,sub005,8,29,52,D,2,0.7167556759668514,58.01498368999455,59.034181400958914,59.934161865967326,9,stim,0.0
27,sub005,8,30,54,,,,,,,,blank,0.0
28,sub005,8,31,56,A,2,0.5667194579727948,62.01504956098506,63.03421263495693,63.93399681401206,10,stim,1.0
29,sub005,8,32,58,,,,,,,,blank,1.0
30,sub005,8,33,60,C,1,0.8167806210112758,66.0150511660031,67.03400336200139,67.93401806795737,11,stim,0.0
31,sub005,8,34,62,,,,,,,,blank,0.0
32,sub005,8,35,64,,,,,,,,blank,0.0
33,sub005,8,36,66,,,,,,,,blank,0.0
34,sub005,8,37,68,D,,,74.01523437799187,75.03501939598937,75.93485943000996,12,stim,0.0
35,sub005,8,38,70,,1,1.1665890839649364,,,,,blank,0.0
36,sub005,8,39,72,B,1,0.5165757180075161,78.01524903497193,79.03435107198311,79.93424934300128,13,stim,1.0
37,sub005,8,40,74,,,,,,,,blank,1.0
38,sub005,8,41,76,,,,,,,,blank,1.0
39,sub005,8,42,78,,,,,,,,blank,1.0
40,sub005,8,43,80,A,2,0.5666690609650686,86.01528335700277,87.03411538701039,87.93413074500859,14,stim,1.0
41,sub005,8,44,82,,,,,,,,blank,1.0
42,sub005,8,45,84,,,,,,,,blank,1.0
43,sub005,8,46,86,C,1,0.7000923359883018,92.0152410090086,93.03420814196579,93.93421360396314,15,stim,0.0
44,sub005,8,47,88,,,,,,,,blank,0.0
45,sub005,8,48,90,,,,,,,,blank,0.0
46,sub005,8,49,92,D,1,0.9355037069763057,98.01535172900185,99.03420854598517,99.9342201440013,16,stim,1.0
47,sub005,8,50,94,,,,,,,,blank,1.0
48,sub005,8,51,96,B,2,0.8332941469852813,102.01536987198051,103.03442594100488,103.93443016399397,17,stim,0.0
49,sub005,8,52,98,,,,,,,,blank,0.0
50,sub005,8,53,100,,,,,,,,blank,0.0
