,Sub,Run,TR,Onset,Item,Resp,RT,image_on,button_on,button_off,Trial_ID,stim,switchButtonOrientation
0,sub004,6,3,0,,,,,,,,blank,0.0
1,sub004,6,4,2,,,,,,,,blank,0.0
2,sub004,6,5,4,,,,,,,,blank,0.0
3,sub004,6,6,6,C,1,0.38334707694593817,12.01118640997447,13.02792966994457,13.927865835954435,0,stim,0.0
4,sub004,6,7,8,,,,,,,,blank,0.0
5,sub004,6,8,10,,,,,,,,blank,0.0
6,sub004,6,9,12,A,2,0.40065038797911257,18.01249795698095,19.030439552967437,19.929195842938498,1,stim,1.0
7,sub004,6,10,14,,,,,,,,blank,1.0
8,sub004,6,11,16,B,2,0.6167311319150031,22.01357462001033,23.032753000967205,23.93031936697662,2,stim,0.0
9,sub004,6,12,18,,,,,,,,blank,0.0
10,sub004,6,13,20,,,,,,,,blank,0.0
11,sub004,6,14,22,,,,,,,,blank,0.0
12,sub004,6,15,24,D,2,0.8000878319144249,30.01377382699866,31.03354179894086,31.93051800399553,3,stim,0.0
13,sub004,6,16,26,,,,,,,,blank,0.0
14,sub004,6,17,28,,,,,,,,blank,0.0
15,sub004,6,18,30,C,1,0.3833391290390864,36.013797665946186,37.033428377937526,37.93057379499078,4,stim,0.0
16,sub004,6,19,32,,,,,,,,blank,0.0
17,sub004,6,20,34,D,1,0.4166220730403438,40.013888641959056,41.033646740950644,41.93043881398626,5,stim,1.0
18,sub004,6,21,36,,,,,,,,blank,1.0
19,sub004,6,22,38,,,,,,,,blank,1.0
20,sub004,6,23,40,,,,,,,,blank,1.0
21,sub004,6,24,42,B,1,0.41674692498054355,48.013773893006146,49.03293341200333,49.93052406900097,6,stim,1.0
22,sub004,6,25,44,,,,,,,,blank,1.0
23,sub004,6,26,46,A,1,0.4334105340531096,52.013799665961415,53.03272160200868,53.93049697892275,7,stim,0.0
24,sub004,6,27,48,,,,,,,,blank,0.0
25,sub004,6,28,50,C,1,0.40003397001419216,56.01387966994662,57.03276005096268,57.93050725793,8,stim,0.0
26,sub004,6,29,52,,,,,,,,blank,0.0
27,sub004,6,30,54,,,,,,,,blank,0.0
28,sub004,6,31,56,B,1,0.36657943797763437,62.013966455939226,63.03279615694191,63.93054192396812,9,stim,1.0
29,sub004,6,32,58,,,,,,,,blank,1.0
30,sub004,6,33,60,,,,,,,,blank,1.0
31,sub004,6,34,62,,,,,,,,blank,1.0
