,Sub,Run,TR,Onset,Item,Resp,RT,image_on,button_on,button_off,Trial_ID,stim,switchButtonOrientation
0,sub004,3,3,0,,,,,,,,blank,1.0
1,sub004,3,4,2,,,,,,,,blank,1.0
2,sub004,3,5,4,,,,,,,,blank,1.0
3,sub004,3,6,6,A,1,0.36667739902623,12.004459131974727,13.021202964009717,13.921136370976456,0,stim,0.0
4,sub004,3,7,8,,,,,,,,blank,0.0
5,sub004,3,8,10,C,2,0.4499762710183859,16.004550285986625,17.02137152396608,17.921173171023838,1,stim,1.0
6,sub004,3,9,12,,,,,,,,blank,1.0
7,sub004,3,10,14,,,,,,,,blank,1.0
8,sub004,3,11,16,D,2,0.5178054380230606,22.00580894201994,23.02580401895102,23.923595343949273,2,stim,0.0
9,sub004,3,12,18,,,,,,,,blank,0.0
10,sub004,3,13,20,,,,,,,,blank,0.0
11,sub004,3,14,22,C,1,0.40011977090034634,28.00697593204677,29.026690470054746,29.923706670990214,3,stim,0.0
12,sub004,3,15,24,,,,,,,,blank,0.0
13,sub004,3,16,26,,,,,,,,blank,0.0
14,sub004,3,17,28,A,1,0.3833694230997935,34.00710532395169,35.02666611701716,35.92371747305151,4,stim,0.0
15,sub004,3,18,30,,,,,,,,blank,0.0
16,sub004,3,19,32,B,1,0.549942423007451,38.007140276022255,39.0268129640026,39.923768440959975,5,stim,1.0
17,sub004,3,20,34,,,,,,,,blank,1.0
18,sub004,3,21,36,,,,,,,,blank,1.0
19,sub004,3,22,38,A,2,0.4833470289595425,44.0069917710498,45.025966890971176,45.923736672033556,6,stim,1.0
20,sub004,3,23,40,,,,,,,,blank,1.0
21,sub004,3,24,42,D,1,0.6334043340757489,48.0070261269575,49.02604930405505,49.92377342795953,7,stim,1.0
22,sub004,3,25,44,,,,,,,,blank,1.0
23,sub004,3,26,46,B,2,0.5333923599682748,52.00705203099642,53.02598819101695,53.923787551000714,8,stim,0.0
24,sub004,3,27,48,,,,,,,,blank,0.0
25,sub004,3,28,50,,,,,,,,blank,0.0
26,sub004,3,29,52,,,,,,,,blank,0.0
27,sub004,3,30,54,D,2,0.5166777799604461,60.00716172601096,61.02622819505632,61.92379157501273,9,stim,0.0
28,sub004,3,31,56,,,,,,,,blank,0.0
29,sub004,3,32,58,,,,,,,,blank,0.0
30,sub004,3,33,60,B,2,0.533408256014809,66.00715317903087,67.02609298797324,67.92388950602617,10,stim,0.0
31,sub004,3,34,62,,,,,,,,blank,0.0
32,sub004,3,35,64,C,1,0.38333867909386754,70.00719075894449,71.02631588897202,71.92391223297454,11,stim,0.0
33,sub004,3,36,66,,,,,,,,blank,0.0
34,sub004,3,37,68,A,1,0.40000507794320583,74.00734519900288,75.0269390050089,75.92410043801647,12,stim,0.0
35,sub004,3,38,70,,,,,,,,blank,0.0
36,sub004,3,39,72,,,,,,,,blank,0.0
37,sub004,3,40,74,,,,,,,,blank,0.0
38,sub004,3,41,76,D,1,0.4333152649924159,82.00747526902705,83.02706252899952,83.9240721729584,13,stim,1.0
39,sub004,3,42,78,,,,,,,,blank,1.0
40,sub004,3,43,80,,,,,,,,blank,1.0
41,sub004,3,44,82,,,,,,,,blank,1.0
42,sub004,3,45,84,C,1,0.6334229781059548,90.00743434694596,91.02710742305499,91.92421177902725,14,stim,0.0
43,sub004,3,46,86,,,,,,,,blank,0.0
44,sub004,3,47,88,B,2,0.6667312500067055,94.0074805150507,95.02715231396724,95.92409042199142,15,stim,0.0
45,sub004,3,48,90,,,,,,,,blank,0.0
46,sub004,3,49,92,,,,,,,,blank,0.0
47,sub004,3,50,94,,,,,,,,blank,0.0
48,sub004,3,51,96,A,2,0.5162103200564161,102.00790010998026,103.0263660439523,103.92413927905727,16,stim,1.0
49,sub004,3,52,98,,,,,,,,blank,1.0
50,sub004,3,53,100,,,,,,,,blank,1.0
51,sub004,3,54,102,B,1,0.4167023439658806,108.00750837603118,109.02637820295058,109.92412157903891,17,stim,1.0
52,sub004,3,55,104,,,,,,,,blank,1.0
53,sub004,3,56,106,A,1,0.4499924060655758,112.00755609094631,113.02660045505036,113.92422792303842,18,stim,0.0
54,sub004,3,57,108,,,,,,,,blank,0.0
55,sub004,3,58,110,C,2,0.4500713509041816,116.00750719604548,117.02673406305257,117.92426041897852,19,stim,1.0
56,sub004,3,59,112,,,,,,,,blank,1.0
57,sub004,3,60,114,,,,,,,,blank,1.0
58,sub004,3,61,116,D,1,0.4332794949878007,122.00773326202761,123.02735810203012,123.92433537798934,20,stim,1.0
59,sub004,3,62,118,,,,,,,,blank,1.0
60,sub004,3,63,120,,,,,,,,blank,1.0
61,sub004,3,64,122,,,,,,,,blank,1.0
62,sub004,3,65,124,B,2,0.5000394789967686,130.00769577699248,131.02760401903652,131.92447155399714,21,stim,0.0
63,sub004,3,66,126,,,,,,,,blank,0.0
64,sub004,3,67,128,D,2,0.5500505530508235,134.00775656697806,135.02745538798627,135.92441576905549,22,stim,0.0
65,sub004,3,68,130,,,,,,,,blank,0.0
66,sub004,3,69,132,C,1,0.4331889710156247,138.007824358996,139.02657887001988,139.92431589995977,23,stim,0.0
67,sub004,3,70,134,,,,,,,,blank,0.0
68,sub004,3,71,136,D,2,0.533234030008316,142.0077812479576,143.02661202999298,143.92435654602014,24,stim,0.0
69,sub004,3,72,138,,,,,,,,blank,0.0
70,sub004,3,73,140,,,,,,,,blank,0.0
