,Sub,Run,TR,Onset,Item,Resp,RT,image_on,button_on,button_off,Trial_ID,stim,switchButtonOrientation
0,sub004,1,3,0,,,,,,,,blank,1.0
1,sub004,1,4,2,,,,,,,,blank,1.0
2,sub004,1,5,4,,,,,,,,blank,1.0
3,sub004,1,6,6,B,1,0.44994825997855514,12.00877684308216,13.028529764036648,13.912143398076296,0,stim,1.0
4,sub004,1,7,8,,,,,,,,blank,1.0
5,sub004,1,8,10,,,,,,,,blank,1.0
6,sub004,1,9,12,,,,,,,,blank,1.0
7,sub004,1,10,14,D,2,0.650089688017033,20.008777520037256,21.02860280906316,21.911773384083062,1,stim,0.0
8,sub004,1,11,16,,,,,,,,blank,0.0
9,sub004,1,12,18,,,,,,,,blank,0.0
10,sub004,1,13,20,,,,,,,,blank,0.0
11,sub004,1,14,22,B,2,0.483257960062474,28.00891518802382,29.028438801062293,29.91229927504901,2,stim,0.0
12,sub004,1,15,24,,,,,,,,blank,0.0
13,sub004,1,16,26,,,,,,,,blank,0.0
14,sub004,1,17,28,A,1,0.4667262409348041,34.00885806407314,35.02854603610467,35.91224949108437,3,stim,0.0
15,sub004,1,18,30,,,,,,,,blank,0.0
16,sub004,1,19,32,,,,,,,,blank,0.0
17,sub004,1,20,34,D,1,0.4666798090329394,40.00887274299748,41.027720431098714,41.92545789910946,4,stim,1.0
18,sub004,1,21,36,,,,,,,,blank,1.0
19,sub004,1,22,38,,,,,,,,blank,1.0
20,sub004,1,23,40,C,2,0.5332388919778168,46.0089252210455,47.027735886047594,47.92550429503899,5,stim,1.0
21,sub004,1,24,42,,,,,,,,blank,1.0
22,sub004,1,25,44,B,2,0.5333597930148244,50.0089288080344,51.027823500102386,51.925579966045916,6,stim,0.0
23,sub004,1,26,46,,,,,,,,blank,0.0
24,sub004,1,27,48,,,,,,,,blank,0.0
25,sub004,1,28,50,,,,,,,,blank,0.0
26,sub004,1,29,52,C,1,0.483367883018218,58.00896588503383,59.02791495202109,59.925573102082126,7,stim,0.0
27,sub004,1,30,54,,,,,,,,blank,0.0
28,sub004,1,31,56,D,2,0.6666638900060207,62.009018933051266,63.028045757091604,63.92834096506704,8,stim,0.0
29,sub004,1,32,58,,,,,,,,blank,0.0
30,sub004,1,33,60,A,2,0.5000125350197777,66.0090128830634,67.02787591004744,67.9256193790352,9,stim,1.0
31,sub004,1,34,62,,,,,,,,blank,1.0
32,sub004,1,35,64,,,,,,,,blank,1.0
33,sub004,1,36,66,C,2,0.4833253800170496,72.00900892808568,73.02798675303347,73.92838042601943,10,stim,1.0
34,sub004,1,37,68,,,,,,,,blank,1.0
35,sub004,1,38,70,,,,,,,,blank,1.0
36,sub004,1,39,72,,,,,,,,blank,1.0
37,sub004,1,40,74,A,1,0.6000095959752798,80.00917458510958,81.02892887603957,81.91263221111149,11,stim,0.0
38,sub004,1,41,76,,,,,,,,blank,0.0
39,sub004,1,42,78,,,,,,,,blank,0.0
40,sub004,1,43,80,,,,,,,,blank,0.0
41,sub004,1,44,82,C,1,0.44981360994279385,88.00930173310917,89.02897288405802,89.92577394109685,12,stim,0.0
42,sub004,1,45,84,,,,,,,,blank,0.0
43,sub004,1,46,86,,,,,,,,blank,0.0
44,sub004,1,47,88,B,1,0.3833221470704302,94.00920482503716,95.02806015801616,95.92579630308319,13,stim,1.0
45,sub004,1,48,90,,,,,,,,blank,1.0
46,sub004,1,49,92,A,1,0.4665985140018165,98.00923784903716,99.02810563507956,99.92582811403554,14,stim,0.0
47,sub004,1,50,94,,,,,,,,blank,0.0
48,sub004,1,51,96,,,,,,,,blank,0.0
49,sub004,1,52,98,,,,,,,,blank,0.0
50,sub004,1,53,100,D,1,0.466675280011259,106.00926986406557,107.02815766306594,107.92588903405704,15,stim,1.0
51,sub004,1,54,102,,,,,,,,blank,1.0
52,sub004,1,55,104,C,1,0.3833590940339491,110.00929413503036,111.02840287610888,111.92597206903156,16,stim,0.0
53,sub004,1,56,106,,,,,,,,blank,0.0
54,sub004,1,57,108,B,2,0.499998950981535,114.00927414605394,115.02842377009802,115.92598849209026,17,stim,0.0
55,sub004,1,58,110,,,,,,,,blank,0.0
56,sub004,1,59,112,D,2,0.6167457209667191,118.00928250805009,119.02821577806026,119.92603393702302,18,stim,0.0
57,sub004,1,60,114,,,,,,,,blank,0.0
58,sub004,1,61,116,,,,,,,,blank,0.0
59,sub004,1,62,118,B,1,0.35004655399825424,124.00935200008098,125.02829604910221,125.91246814804617,19,stim,1.0
60,sub004,1,63,120,,,,,,,,blank,1.0
61,sub004,1,64,122,,,,,,,,blank,1.0
62,sub004,1,65,124,A,1,0.4500123990001157,130.00956610403955,131.02921069902368,131.92618341103662,20,stim,0.0
