,Sub,Run,TR,Onset,Item,Resp,RT,image_on,button_on,button_off,Trial_ID,stim,switchButtonOrientation
0,sub004,2,3,0,,,,,,,,blank,0.0
1,sub004,2,4,2,,,,,,,,blank,0.0
2,sub004,2,5,4,,,,,,,,blank,0.0
3,sub004,2,6,6,A,1,0.433799485093914,12.00944084301591,13.02632105210796,13.926119435112923,0,stim,0.0
4,sub004,2,7,8,,,,,,,,blank,0.0
5,sub004,2,8,10,C,1,0.41794451500754803,16.009469596087,17.028663859004155,17.927417159080505,1,stim,0.0
6,sub004,2,9,12,,,,,,,,blank,0.0
7,sub004,2,10,14,B,2,0.4666747450828552,20.01186074502766,21.03081018710509,21.928476600092836,2,stim,0.0
8,sub004,2,11,16,,,,,,,,blank,0.0
9,sub004,2,12,18,D,2,0.5166125029791147,24.01187997404486,25.030844290042296,25.928530496079475,3,stim,0.0
10,sub004,2,13,20,,,,,,,,blank,0.0
11,sub004,2,14,22,,,,,,,,blank,0.0
12,sub004,2,15,24,,,,,,,,blank,0.0
13,sub004,2,16,26,A,2,0.5334465459454805,32.01198183209635,33.03178065805696,33.92874277511146,4,stim,1.0
14,sub004,2,17,28,,,,,,,,blank,1.0
15,sub004,2,18,30,D,2,0.433357150061056,36.01193894201424,37.03097105305642,37.92864337807987,5,stim,0.0
16,sub004,2,19,32,,,,,,,,blank,0.0
17,sub004,2,20,34,,,,,,,,blank,0.0
18,sub004,2,21,36,C,2,0.5666076749330387,42.01204468810465,43.0309706981061,43.92867641500197,6,stim,1.0
19,sub004,2,22,38,,,,,,,,blank,1.0
20,sub004,2,23,40,,,,,,,,blank,1.0
21,sub004,2,24,42,,,,,,,,blank,1.0
22,sub004,2,25,44,B,2,0.4833333420101553,50.012008006102405,51.03106898011174,51.92874716105871,7,stim,0.0
23,sub004,2,26,46,,,,,,,,blank,0.0
24,sub004,2,27,48,,,,,,,,blank,0.0
25,sub004,2,28,50,,,,,,,,blank,0.0
26,sub004,2,29,52,C,2,0.4333323339233175,58.01215101208072,59.031094990088604,59.92874757410027,8,stim,1.0
27,sub004,2,30,54,,,,,,,,blank,1.0
28,sub004,2,31,56,,,,,,,,blank,1.0
29,sub004,2,32,58,B,1,0.3999714689562097,64.01213672710583,65.03118405304849,65.92884847801179,9,stim,1.0
30,sub004,2,33,60,,,,,,,,blank,1.0
31,sub004,2,34,62,,,,,,,,blank,1.0
32,sub004,2,35,64,D,2,0.48339728207793087,70.01219457702246,71.03117302700412,71.92883513111155,10,stim,0.0
33,sub004,2,36,66,,,,,,,,blank,0.0
34,sub004,2,37,68,A,2,0.5166874449932948,74.01234298909549,75.03198407008313,75.92902009107638,11,stim,1.0
35,sub004,2,38,70,,,,,,,,blank,1.0
36,sub004,2,39,72,C,1,0.4666842110455036,78.01220673602074,79.03123657905962,79.92892234306782,12,stim,0.0
37,sub004,2,40,74,,,,,,,,blank,0.0
38,sub004,2,41,76,A,1,0.45005792402662337,82.01222305104602,83.03123724006582,83.92893967707641,13,stim,0.0
39,sub004,2,42,78,,,,,,,,blank,0.0
40,sub004,2,43,80,D,1,0.49999988300260156,86.01233554107603,87.0314542670967,87.92896629008465,14,stim,1.0
41,sub004,2,44,82,,,,,,,,blank,1.0
42,sub004,2,45,84,A,1,0.38328432803973556,90.01234613906126,91.03150300506968,91.92897318804171,15,stim,0.0
43,sub004,2,46,86,,,,,,,,blank,0.0
44,sub004,2,47,88,D,1,0.5166761309374124,94.01237507909536,95.03133568610065,95.92899008002132,16,stim,1.0
45,sub004,2,48,90,,,,,,,,blank,1.0
