,Sub,Run,TR,Onset,Item,Resp,RT,image_on,button_on,button_off,Trial_ID,stim,switchButtonOrientation
0,sub004,1,3,0,,,,,,,,blank,0.0
1,sub004,1,4,2,,,,,,,,blank,0.0
2,sub004,1,5,4,,,,,,,,blank,0.0
3,sub004,1,6,6,A,1,0.449930032948032,12.008112547104247,13.027745451079682,13.928233941085637,0,stim,0.0
4,sub004,1,7,8,,,,,,,,blank,0.0
5,sub004,1,8,10,C,2,0.4462723770411685,16.011682595009916,17.026897351024672,17.926987861050293,1,stim,1.0
6,sub004,1,9,12,,,,,,,,blank,1.0
7,sub004,1,10,14,D,2,0.44785245996899903,20.01030292606447,21.02676421601791,21.928305671084672,2,stim,0.0
8,sub004,1,11,16,,,,,,,,blank,0.0
9,sub004,1,12,18,,,,,,,,blank,0.0
10,sub004,1,13,20,,,,,,,,blank,0.0
11,sub004,1,14,22,B,2,0.5153801200212911,28.00938056805171,29.027814333094284,29.927099786000326,3,stim,0.0
12,sub004,1,15,24,,,,,,,,blank,0.0
13,sub004,1,16,26,D,2,0.4666134570725262,32.00810747803189,33.02699346910231,33.92730790609494,4,stim,0.0
14,sub004,1,17,28,,,,,,,,blank,0.0
15,sub004,1,18,30,A,1,0.4499414280289784,36.008135147043504,37.02701974299271,37.9270824160194,5,stim,0.0
16,sub004,1,19,32,,,,,,,,blank,0.0
17,sub004,1,20,34,C,2,0.433328673010692,40.00816297205165,41.027051168028265,41.92729423404671,6,stim,1.0
18,sub004,1,21,36,,,,,,,,blank,1.0
19,sub004,1,22,38,,,,,,,,blank,1.0
20,sub004,1,23,40,B,1,0.4500842191046104,46.008138503995724,47.027203371049836,47.927197119104676,7,stim,1.0
21,sub004,1,24,42,,,,,,,,blank,1.0
22,sub004,1,25,44,C,2,0.6666809449670836,50.008152361027896,51.02715057809837,51.9274246430723,8,stim,1.0
23,sub004,1,26,46,,,,,,,,blank,1.0
24,sub004,1,27,48,,,,,,,,blank,1.0
25,sub004,1,28,50,,,,,,,,blank,1.0
26,sub004,1,29,52,A,1,0.40001627209130675,58.00819355400745,59.027427947032265,59.927458641002886,9,stim,0.0
27,sub004,1,30,54,,,,,,,,blank,0.0
28,sub004,1,31,56,B,2,0.5499014270026237,62.00831330101937,63.02722523501143,63.92722485901322,10,stim,0.0
29,sub004,1,32,58,,,,,,,,blank,0.0
30,sub004,1,33,60,,,,,,,,blank,0.0
31,sub004,1,34,62,,,,,,,,blank,0.0
32,sub004,1,35,64,D,2,0.6334205169696361,70.00826063402928,71.0272984560579,71.92732951708604,11,stim,0.0
