,Sub,Run,TR,Onset,Item,Resp,RT,image_on,button_on,button_off,Trial_ID,stim,switchButtonOrientation
0,sub004,1,3,0,,,,,,,,blank,0.0
1,sub004,1,4,2,,,,,,,,blank,0.0
2,sub004,1,5,4,,,,,,,,blank,0.0
3,sub004,1,6,6,B,2,0.7667115249787457,12.009606136998627,13.029147388995625,13.926249918004032,0,stim,0.0
4,sub004,1,7,8,,,,,,,,blank,0.0
5,sub004,1,8,10,,,,,,,,blank,0.0
6,sub004,1,9,12,A,2,0.6166400230140425,18.009671284002252,19.029408196976874,19.92619918001583,1,stim,1.0
7,sub004,1,10,14,,,,,,,,blank,1.0
8,sub004,1,11,16,,,,,,,,blank,1.0
9,sub004,1,12,18,D,1,0.5332623510039411,24.009715959022287,25.029235062014777,25.92622930801008,2,stim,1.0
10,sub004,1,13,20,,,,,,,,blank,1.0
11,sub004,1,14,22,A,2,0.43330278201028705,28.009744698996656,29.029274659988005,29.92624658101704,3,stim,1.0
12,sub004,1,15,24,,,,,,,,blank,1.0
13,sub004,1,16,26,D,2,0.5333388639846817,32.009763376030605,33.029293066996615,33.92639627400786,4,stim,0.0
14,sub004,1,17,28,,,,,,,,blank,0.0
15,sub004,1,18,30,B,2,0.516586143989116,36.009722127986606,37.02951584698167,37.92643615801353,5,stim,0.0
16,sub004,1,19,32,,,,,,,,blank,0.0
17,sub004,1,20,34,,,,,,,,blank,0.0
18,sub004,1,21,36,D,1,0.4833994160289876,42.00976503198035,43.02953646302922,43.926463774987496,6,stim,1.0
19,sub004,1,22,38,,,,,,,,blank,1.0
20,sub004,1,23,40,,,,,,,,blank,1.0
21,sub004,1,24,42,,,,,,,,blank,1.0
22,sub004,1,25,44,C,1,0.5833687969716266,50.00985378603218,51.02941468398785,51.92647798801772,7,stim,0.0
23,sub004,1,26,46,,,,,,,,blank,0.0
24,sub004,1,27,48,A,2,0.6995955730089918,54.010233148001134,55.02967622701544,55.92654214799404,8,stim,1.0
25,sub004,1,28,50,,,,,,,,blank,1.0
26,sub004,1,29,52,C,1,0.5165244489908218,58.00991130300099,59.02958818199113,59.926435045024846,9,stim,0.0
27,sub004,1,30,54,,,,,,,,blank,0.0
28,sub004,1,31,56,B,2,0.4665285470546223,62.00994003197411,63.02947542897891,63.92661309702089,10,stim,0.0
29,sub004,1,32,58,,,,,,,,blank,0.0
30,sub004,1,33,60,,,,,,,,blank,0.0
31,sub004,1,34,62,,,,,,,,blank,0.0
32,sub004,1,35,64,C,1,0.48342169797979295,70.0099078870262,71.02957451302791,71.92666436103173,11,stim,0.0
